Date,Date_1,Open,High,Low,Close,Adj_Close,Volume
1992-06-26T00:00:00Z,1992-06-26,0.328125,0.347656,0.320313,0.335938,0.276218,224358400
1992-06-29T00:00:00Z,1992-06-29,0.339844,0.367188,0.332031,0.359375,0.295489,58732800
1992-06-30T00:00:00Z,1992-06-30,0.367188,0.371094,0.34375,0.347656,0.285853,34777600
1992-07-01T00:00:00Z,1992-07-01,0.351563,0.359375,0.339844,0.355469,0.292277,18316800
1992-07-02T00:00:00Z,1992-07-02,0.359375,0.359375,0.347656,0.355469,0.292277,13996800
1992-07-06T00:00:00Z,1992-07-06,0.351563,0.355469,0.347656,0.355469,0.292277,5753600
1992-07-07T00:00:00Z,1992-07-07,0.355469,0.355469,0.347656,0.355469,0.292277,10662400
1992-07-08T00:00:00Z,1992-07-08,0.355469,0.355469,0.34375,0.347656,0.285853,15500800
1992-07-09T00:00:00Z,1992-07-09,0.351563,0.359375,0.347656,0.359375,0.295489,3923200
1992-07-10T00:00:00Z,1992-07-10,0.359375,0.367188,0.351563,0.363281,0.298701,11040000
1992-07-13T00:00:00Z,1992-07-13,0.363281,0.371094,0.359375,0.371094,0.305125,5996800
1992-07-14T00:00:00Z,1992-07-14,0.371094,0.382813,0.367188,0.371094,0.305125,17062400
1992-07-15T00:00:00Z,1992-07-15,0.375,0.382813,0.371094,0.382813,0.31476,4992000
1992-07-16T00:00:00Z,1992-07-16,0.382813,0.414063,0.378906,0.408203,0.335637,17062400
1992-07-17T00:00:00Z,1992-07-17,0.410156,0.4375,0.398438,0.429688,0.353302,15667200
1992-07-20T00:00:00Z,1992-07-20,0.427734,0.4375,0.417969,0.433594,0.356514,19744000
1992-07-21T00:00:00Z,1992-07-21,0.4375,0.445313,0.429688,0.4375,0.359726,7782400
1992-07-22T00:00:00Z,1992-07-22,0.433594,0.4375,0.421875,0.433594,0.356514,10892800
1992-07-23T00:00:00Z,1992-07-23,0.433594,0.441406,0.425781,0.441406,0.362937,10387200
1992-07-24T00:00:00Z,1992-07-24,0.433594,0.449219,0.429688,0.445313,0.36615,7052800
1992-07-27T00:00:00Z,1992-07-27,0.449219,0.464844,0.445313,0.455078,0.374179,11430400
1992-07-28T00:00:00Z,1992-07-28,0.460938,0.464844,0.429688,0.4375,0.359726,18009600
1992-07-29T00:00:00Z,1992-07-29,0.4375,0.4375,0.40625,0.416016,0.342061,30848000
1992-07-30T00:00:00Z,1992-07-30,0.410156,0.417969,0.402344,0.414063,0.340455,11737600
1992-07-31T00:00:00Z,1992-07-31,0.414063,0.417969,0.40625,0.416016,0.342061,6886400
1992-08-03T00:00:00Z,1992-08-03,0.410156,0.425781,0.410156,0.419922,0.345273,4832000
1992-08-04T00:00:00Z,1992-08-04,0.421875,0.429688,0.412109,0.427734,0.351696,6822400
1992-08-05T00:00:00Z,1992-08-05,0.425781,0.425781,0.402344,0.410156,0.337243,9516800
1992-08-06T00:00:00Z,1992-08-06,0.40625,0.410156,0.398438,0.410156,0.337243,3673600
1992-08-07T00:00:00Z,1992-08-07,0.410156,0.425781,0.398438,0.425781,0.35009,8825600
1992-08-10T00:00:00Z,1992-08-10,0.417969,0.433594,0.414063,0.425781,0.35009,5888000
1992-08-11T00:00:00Z,1992-08-11,0.433594,0.433594,0.421875,0.429688,0.353302,4147200
1992-08-12T00:00:00Z,1992-08-12,0.421875,0.425781,0.402344,0.410156,0.337243,12736000
1992-08-13T00:00:00Z,1992-08-13,0.410156,0.416016,0.402344,0.410156,0.337243,48320000
1992-08-14T00:00:00Z,1992-08-14,0.40625,0.414063,0.382813,0.386719,0.317972,17849600
1992-08-17T00:00:00Z,1992-08-17,0.390625,0.394531,0.382813,0.394531,0.324395,2681600
1992-08-18T00:00:00Z,1992-08-18,0.382813,0.390625,0.382813,0.390625,0.321184,2860800
1992-08-19T00:00:00Z,1992-08-19,0.382813,0.390625,0.382813,0.390625,0.321184,2380800
1992-08-20T00:00:00Z,1992-08-20,0.390625,0.400391,0.378906,0.386719,0.317972,2489600
1992-08-21T00:00:00Z,1992-08-21,0.386719,0.386719,0.378906,0.378906,0.311548,2048000
1992-08-24T00:00:00Z,1992-08-24,0.382813,0.386719,0.375,0.382813,0.31476,6905600
1992-08-25T00:00:00Z,1992-08-25,0.375,0.382813,0.375,0.378906,0.311548,4128000
1992-08-26T00:00:00Z,1992-08-26,0.375,0.382813,0.359375,0.375,0.308336,19385600
1992-08-27T00:00:00Z,1992-08-27,0.378906,0.386719,0.375,0.382813,0.31476,6169600
1992-08-28T00:00:00Z,1992-08-28,0.382813,0.390625,0.378906,0.390625,0.321184,3417600
1992-08-31T00:00:00Z,1992-08-31,0.390625,0.394531,0.382813,0.388672,0.319578,4441600
1992-09-01T00:00:00Z,1992-09-01,0.390625,0.402344,0.386719,0.394531,0.324395,2387200
1992-09-02T00:00:00Z,1992-09-02,0.402344,0.433594,0.394531,0.431641,0.354908,11692800
1992-09-03T00:00:00Z,1992-09-03,0.429688,0.453125,0.429688,0.445313,0.36615,16480000
1992-09-04T00:00:00Z,1992-09-04,0.445313,0.453125,0.441406,0.449219,0.369361,4249600
1992-09-08T00:00:00Z,1992-09-08,0.453125,0.496094,0.445313,0.486328,0.399874,17139200
1992-09-09T00:00:00Z,1992-09-09,0.464844,0.488281,0.453125,0.480469,0.395056,25299200
1992-09-10T00:00:00Z,1992-09-10,0.472656,0.480469,0.464844,0.476563,0.391844,8889600
1992-09-11T00:00:00Z,1992-09-11,0.472656,0.5,0.472656,0.488281,0.401479,13036800
1992-09-14T00:00:00Z,1992-09-14,0.496094,0.515625,0.492188,0.511719,0.420751,13068800
1992-09-15T00:00:00Z,1992-09-15,0.503906,0.513672,0.480469,0.480469,0.395056,18099200
1992-09-16T00:00:00Z,1992-09-16,0.460938,0.476563,0.457031,0.464844,0.382209,14963200
1992-09-17T00:00:00Z,1992-09-17,0.46875,0.472656,0.4375,0.445313,0.36615,13459200
1992-09-18T00:00:00Z,1992-09-18,0.4375,0.445313,0.417969,0.425781,0.35009,17260800
1992-09-21T00:00:00Z,1992-09-21,0.429688,0.46875,0.417969,0.460938,0.378997,24012800
1992-09-22T00:00:00Z,1992-09-22,0.460938,0.484375,0.453125,0.480469,0.395056,19206400
1992-09-23T00:00:00Z,1992-09-23,0.480469,0.480469,0.457031,0.476563,0.391844,26912000
1992-09-24T00:00:00Z,1992-09-24,0.480469,0.484375,0.46875,0.480469,0.395056,5459200
1992-09-25T00:00:00Z,1992-09-25,0.476563,0.488281,0.472656,0.476563,0.391844,12102400
1992-09-28T00:00:00Z,1992-09-28,0.480469,0.503906,0.476563,0.501953,0.412721,7532800
1992-09-29T00:00:00Z,1992-09-29,0.496094,0.503906,0.480469,0.482422,0.396662,9593600
1992-09-30T00:00:00Z,1992-09-30,0.480469,0.488281,0.472656,0.472656,0.388632,11123200
